Date,Reference,Counterparty,Description,Debit,Credit
2026-01-02,INV-1001,Acme Supplies,Office equipment purchase,12500,
2026-01-03,INV-1002,Northwind Traders,Customer payment,,78500
2026-01-05,UPI-8842,Ravi Kumar,Refund processed,2500,
2026-01-07,INV-1003,Zenith Logistics,Freight payment,42000,
2026-01-08,INV-1004,BluePeak Services,Consulting fee,,65000
2026-01-10,INV-1005,Orion Retail,POS settlement,,92000
2026-01-11,INV-1006,Delta Power,Utility bill,18100,
2026-01-12,INV-1007,Metro Ads,Campaign payment,51000,
2026-01-12,INV-1007,Metro Ads,Campaign payment duplicate,51000,
2026-01-14,,Unknown Vendor,Cash withdrawal,75000,
